run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
18, 39.405033, 121.000000, 328.432620, 638.000000, 1112.000000
6, 39.448836, 128.000000, 328.479022, 652.000000, 1087.000000
4, 39.802646, 101.000000, 327.714643, 642.000000, 1063.000000
13, 38.708914, 121.000000, 334.386496, 677.000000, 1036.000000
5, 39.747244, 109.000000, 326.774104, 658.000000, 1019.000000
14, 38.792313, 114.000000, 332.953320, 674.000000, 1119.000000
3, 39.041646, 81.000000, 329.722701, 660.000000, 1174.000000
11, 38.732319, 99.000000, 332.983884, 645.000000, 1095.000000
10, 39.092055, 181.000000, 331.542929, 700.000000, 1039.000000
17, 39.053254, 88.000000, 331.037788, 676.000000, 1035.000000
9, 39.025131, 126.000000, 331.525424, 677.000000, 986.000000
15, 38.941485, 127.000000, 331.919422, 645.000000, 1011.000000
19, 39.298544, 101.000000, 330.546541, 621.000000, 1027.000000
8, 39.651752, 139.000000, 325.281745, 613.000000, 1142.000000
12, 38.271762, 125.000000, 334.357599, 658.000000, 1032.000000
2, 39.789059, 105.000000, 324.910253, 637.000000, 1022.000000
7, 39.682452, 85.000000, 326.614893, 629.000000, 1052.000000
1, 41.393509, 125.000000, 306.976660, 683.000000, 987.000000
16, 38.540205, 100.000000, 331.742706, 669.000000, 1079.000000
20, 38.917492, 91.000000, 332.448180, 661.000000, 1134.000000
