run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
14, 38.921152, 13.000000, 46.038066, 112.000000, 222.000000
12, 38.382783, 13.000000, 46.208113, 114.000000, 236.000000
3, 39.158495, 13.000000, 44.472909, 106.000000, 178.000000
8, 39.765759, 13.000000, 44.485690, 111.000000, 196.000000
1, 41.503253, 11.000000, 42.605168, 107.000000, 479.000000
11, 38.820077, 13.000000, 44.755765, 109.000000, 162.000000
10, 39.211625, 13.000000, 46.117811, 113.000000, 291.000000
15, 39.082182, 11.000000, 45.979717, 112.000000, 167.000000
6, 39.598622, 11.000000, 44.888024, 107.000000, 154.000000
9, 39.132751, 14.000000, 45.854960, 113.000000, 247.000000
17, 39.147380, 9.000000, 45.109475, 107.000000, 205.000000
13, 38.791198, 15.000000, 46.523479, 109.000000, 241.000000
4, 39.913497, 12.000000, 44.679633, 112.000000, 154.000000
7, 39.751127, 12.000000, 45.321478, 117.000000, 225.000000
16, 38.639511, 13.000000, 46.472076, 116.000000, 309.000000
18, 39.540760, 13.000000, 45.853015, 112.000000, 238.000000
19, 39.383262, 15.000000, 46.238677, 116.000000, 218.000000
20, 38.984538, 12.000000, 46.275632, 111.000000, 315.000000
2, 39.914825, 12.000000, 43.903306, 111.000000, 217.000000
5, 39.879000, 14.000000, 45.260906, 112.000000, 165.000000
