run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
13, 38.790780, 16.000000, 49.170325, 116.000000, 271.000000
20, 38.984538, 13.000000, 49.210892, 118.000000, 472.000000
18, 39.540326, 14.000000, 48.366213, 116.000000, 285.000000
10, 39.211198, 13.000000, 48.674632, 118.000000, 295.000000
5, 39.878558, 15.000000, 48.022228, 114.000000, 222.000000
6, 39.597751, 13.000000, 47.651292, 112.000000, 203.000000
11, 38.819658, 14.000000, 47.340650, 112.000000, 175.000000
9, 39.132326, 15.000000, 48.588219, 115.000000, 273.000000
2, 39.910841, 12.000000, 46.582940, 113.000000, 247.000000
14, 38.916522, 13.000000, 48.727424, 116.000000, 238.000000
12, 38.382373, 14.000000, 49.338427, 117.000000, 379.000000
1, 41.502774, 12.000000, 45.168102, 112.000000, 527.000000
8, 39.763562, 14.000000, 47.044457, 114.000000, 215.000000
16, 38.639096, 14.000000, 49.596832, 122.000000, 344.000000
3, 39.154234, 13.000000, 46.794387, 112.000000, 188.000000
7, 39.750688, 13.000000, 47.920533, 119.000000, 225.000000
4, 39.912611, 15.000000, 48.272576, 115.000000, 170.000000
17, 39.146953, 10.000000, 47.678800, 113.000000, 220.000000
19, 39.382831, 16.000000, 48.854960, 120.000000, 226.000000
15, 39.081758, 12.000000, 48.690747, 116.000000, 194.000000
