run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
14, 40.473640, 67, 193, 344, 572
13, 39.085659, 52, 199, 356, 610
4, 40.685677, 67, 192, 339, 556
3, 41.184664, 65, 191, 357, 556
8, 40.977206, 60, 192, 363, 553
11, 41.086803, 59, 194, 351, 548
18, 40.196851, 61, 195, 368, 592
20, 40.506744, 44, 190, 349, 519
17, 40.723041, 42, 193, 328, 497
9, 41.004430, 69, 192, 353, 593
19, 40.444992, 61, 193, 337, 501
2, 41.049509, 58, 192, 365, 593
12, 40.728895, 64, 192, 349, 593
7, 41.705464, 72, 192, 335, 544
1, 41.260447, 74, 189, 323, 765
15, 41.544643, 65, 190, 335, 554
16, 40.988329, 52, 194, 359, 537
10, 41.239925, 80, 191, 342, 571
6, 39.851737, 79, 197, 356, 508
5, 41.226526, 59, 191, 355, 599
