run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
14, 72.065037, 9.000000, 27.160044, 53.000000, 102.000000
12, 73.157841, 9.000000, 27.058350, 50.000000, 97.000000
3, 71.308276, 9.000000, 26.788552, 50.000000, 107.000000
8, 71.101189, 9.000000, 27.530703, 51.000000, 108.000000
1, 70.319064, 9.000000, 27.120311, 53.000000, 321.000000
11, 73.059824, 8.000000, 26.592665, 48.000000, 82.000000
10, 71.802036, 9.000000, 27.227285, 51.000000, 83.000000
15, 71.852103, 8.000000, 27.165602, 51.000000, 80.000000
6, 70.407924, 8.000000, 27.252014, 52.000000, 92.000000
9, 70.879792, 9.000000, 27.327869, 48.000000, 81.000000
17, 61.667666, 9.000000, 31.891359, 69.000000, 134.000000
13, 72.438376, 9.000000, 26.405390, 49.000000, 71.000000
4, 72.413307, 9.000000, 26.782995, 52.000000, 118.000000
7, 71.741817, 9.000000, 27.342873, 52.000000, 89.000000
16, 71.256039, 9.000000, 27.139205, 50.000000, 101.000000
18, 69.554795, 8.000000, 27.905251, 58.000000, 97.000000
19, 71.988639, 9.000000, 27.441234, 49.000000, 99.000000
20, 70.294031, 9.000000, 27.552376, 51.000000, 194.000000
2, 70.122783, 9.000000, 27.335649, 52.000000, 122.000000
5, 70.511690, 9.000000, 27.106418, 50.000000, 68.000000
