run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
17, 40.406422, 39.000000, 186.136982, 288.000000, 483.000000
6, 39.575544, 77.000000, 190.041956, 293.000000, 441.000000
16, 40.684329, 48.000000, 186.816894, 290.000000, 465.000000
10, 40.920309, 75.000000, 184.388997, 289.000000, 424.000000
15, 41.243139, 61.000000, 183.461239, 281.000000, 526.000000
18, 39.883797, 57.000000, 187.562656, 301.000000, 553.000000
4, 40.392817, 62.000000, 185.088080, 292.000000, 546.000000
3, 40.855015, 61.000000, 184.583773, 288.000000, 523.000000
1, 40.161136, 69.000000, 181.992498, 284.000000, 601.000000
2, 40.616183, 53.000000, 185.008614, 298.000000, 493.000000
12, 40.428904, 60.000000, 185.098639, 286.000000, 524.000000
19, 40.162032, 57.000000, 186.073632, 285.000000, 487.000000
8, 40.647925, 57.000000, 185.530147, 297.000000, 446.000000
13, 38.797567, 49.000000, 191.779939, 304.000000, 506.000000
9, 40.740321, 66.000000, 185.692415, 294.000000, 539.000000
14, 40.197020, 62.000000, 186.377049, 292.000000, 571.000000
7, 41.385339, 58.000000, 185.085857, 283.000000, 515.000000
11, 40.783718, 56.000000, 186.915254, 309.000000, 532.000000
5, 40.890081, 55.000000, 183.624340, 289.000000, 503.000000
20, 40.216784, 40.000000, 183.437066, 289.000000, 497.000000
