run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
14, 36.930482, 164, 357, 711, 1228
13, 36.732031, 149, 357, 722, 1087
4, 43.023134, 107, 312, 641, 1154
3, 43.700340, 112, 310, 665, 1078
8, 38.481819, 159, 343, 723, 1182
11, 36.414952, 127, 358, 765, 1205
18, 35.470557, 100, 368, 745, 1145
20, 35.838901, 126, 370, 798, 1309
17, 36.028647, 155, 364, 747, 1270
9, 37.234511, 76, 350, 724, 1256
19, 35.521020, 167, 366, 786, 1275
2, 44.092323, 144, 307, 688, 971
12, 36.345512, 135, 360, 750, 1282
7, 42.046662, 149, 319, 661, 1049
1, 46.448000, 144, 294, 684, 2001
15, 36.199720, 135, 362, 735, 1189
16, 36.016162, 91, 361, 708, 1177
10, 36.521826, 114, 360, 743, 1268
6, 42.622938, 155, 316, 665, 1114
5, 42.752031, 123, 313, 622, 1122
