run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
14, 41.967909, 9.000000, 21.528480, 41.000000, 112.000000
12, 41.819175, 9.000000, 21.334260, 36.000000, 161.000000
3, 42.753933, 9.000000, 20.548486, 45.000000, 118.000000
8, 39.359398, 8.000000, 23.060572, 46.000000, 192.000000
1, 40.038280, 9.000000, 22.524312, 45.000000, 353.000000
11, 42.349646, 9.000000, 21.185885, 36.000000, 133.000000
10, 40.728795, 9.000000, 21.816894, 45.000000, 241.000000
15, 41.147417, 9.000000, 21.651014, 38.000000, 177.000000
6, 43.034282, 9.000000, 21.310364, 36.000000, 124.000000
9, 43.915951, 8.000000, 20.967213, 36.000000, 130.000000
17, 42.507707, 8.000000, 21.669908, 37.000000, 126.000000
13, 41.319373, 9.000000, 21.942762, 39.000000, 176.000000
4, 43.923454, 9.000000, 21.061406, 36.000000, 178.000000
7, 40.081522, 9.000000, 22.004724, 45.000000, 114.000000
16, 39.892261, 9.000000, 22.456238, 46.000000, 135.000000
18, 42.136443, 8.000000, 21.576271, 37.000000, 160.000000
19, 40.387831, 9.000000, 22.687969, 44.000000, 83.000000
20, 42.353633, 9.000000, 21.305918, 38.000000, 143.000000
2, 44.396472, 8.000000, 20.192553, 39.000000, 294.000000
5, 42.552940, 9.000000, 20.968880, 35.000000, 145.000000
