run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
14, 72.806032, 45, 179, 442, 634
13, 73.337170, 31, 180, 451, 752
4, 73.376239, 35, 181, 442, 689
3, 72.345996, 43, 180, 471, 711
8, 71.843805, 42, 181, 491, 773
11, 73.889858, 45, 180, 453, 614
18, 70.293764, 34, 188, 490, 723
20, 71.087918, 42, 187, 462, 587
17, 62.283836, 45, 210, 529, 777
9, 71.578975, 41, 185, 467, 674
19, 72.768260, 44, 182, 434, 909
2, 71.867191, 41, 182, 463, 633
12, 73.953506, 43, 180, 475, 667
7, 72.429244, 43, 181, 462, 671
1, 74.046721, 41, 178, 462, 897
15, 72.657881, 44, 181, 450, 610
16, 72.128645, 32, 183, 465, 787
10, 72.693950, 42, 180, 451, 681
6, 71.225909, 40, 185, 466, 872
5, 71.272310, 43, 185, 467, 688
