run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
18, 69.319343, 30.000000, 184.610447, 486.000000, 722.000000
6, 70.233003, 39.000000, 181.836343, 463.000000, 870.000000
4, 72.202021, 34.000000, 177.634899, 437.000000, 687.000000
13, 72.272453, 30.000000, 177.131425, 449.000000, 744.000000
5, 70.224115, 42.000000, 181.833009, 463.000000, 684.000000
14, 71.747984, 40.000000, 175.772437, 438.000000, 632.000000
3, 71.188385, 37.000000, 177.011948, 466.000000, 709.000000
11, 72.817107, 40.000000, 177.127813, 450.000000, 608.000000
10, 71.573584, 39.000000, 176.528202, 441.000000, 680.000000
17, 61.452705, 45.000000, 205.580717, 526.000000, 770.000000
9, 70.600715, 40.000000, 181.501250, 463.000000, 670.000000
15, 71.648982, 43.000000, 177.904418, 448.000000, 608.000000
19, 71.732232, 43.000000, 178.744096, 432.000000, 907.000000
8, 70.885078, 42.000000, 178.107808, 490.000000, 770.000000
12, 72.980705, 41.000000, 176.442345, 472.000000, 665.000000
2, 69.942039, 35.000000, 178.407335, 459.000000, 629.000000
7, 71.535052, 42.000000, 178.026952, 457.000000, 670.000000
1, 70.014806, 40.000000, 174.018338, 456.000000, 668.000000
16, 70.975769, 31.000000, 179.886079, 450.000000, 785.000000
20, 70.145007, 40.000000, 183.603223, 456.000000, 585.000000
